CKT_TRAIL_ID,TRAIL_NAME,A_EQUIPMENT_TID,A_EQUIPMENT_MODEL,Z_EQUIPMENT_TID,Z_EQUIPMENT_MODEL
127281,I1001/GE100/FRHDNJFH/RBVLNJRB,FRHDNJFH-0111114A,CISCO_NCS4016_SHELF,RBVLNJRB-0111103A,CISCO_NCS4016_SHELF
127407,I1001/GE100/FRHDNJFH/RDBKNJRB,FRHDNJFH-0111114A,CISCO_NCS4016_SHELF,RDBKNJRB-0110508A,CISCO NCS4016 SHELF
103758,I1001/GE100/FRHDNJFH/SORVNJSR,FRHDNJFH-0111114A,CISCO_NCS4016_SHELF,SORVNJSR-0111728A,CISCO_NCS4016_SHELF
97254,I1001/GE100/FRHDNJFH/TMRVNJTR,FRHDNJFH-0111114A,CISCO_NCS4016_SHELF,TMRVNJTR-0112109A,CISCO_NCS4016_SHELF
133887,I1001/GE100/FRHDNJFH/WLTPNJ22,FRHDNJFH-0111114A,CISCO_NCS4016_SHELF,WLTPNJ22-0110212A,CISCO NCS4016 SHELF
103842,I1001/GE100/FRLNNJFL/RCPKNJ01,FRLNNJFL-0221974A,CISCO_NCS4016_SHELF,RCPKNJ01-0222116A,CISCO_NCS4016_SHELF
103843,I1001/GE100/FRLNNJFL/RVDLNJPL,FRLNNJFL-0221974A,CISCO_NCS4016_SHELF,RVDLNJPL-0226429A,CISCO_NCS4016_SHELF
132183,I1001/GE100/FRPTNYFP/GRNKNYGN,FRPTNYFP-0224111A,CISCO_NCS4016_SHELF,GRNKNYGN-0223934A,CISCO_NCS4016_SHELF
95062,I1001/GE100/FRPTNYFP/HCVLNYHV,FRPTNYFP-0224111A,CISCO_NCS4016_SHELF,HCVLNYHV-0115208A,CISCO_NCS4016_SHELF
132185,I1001/GE100/FRPTNYFP/LYBRNYLB,FRPTNYFP-0224111A,CISCO_NCS4016_SHELF,LYBRNYLB-01153A08A,CISCO_NCS4016_SHELF
95063,I1001/GE100/FRPTNYFP/SYOSNYSY,FRPTNYFP-0224111A,CISCO_NCS4016_SHELF,SYOSNYSY-0112317A,CISCO_NCS4016_SHELF
102511,I1001/GE100/FTLENJLE/HCKNNJHK,FTLENJLE-0221808A,CISCO_NCS4016_SHELF,HCKNNJHK-0440411A,CISCO_NCS4016_SHELF
102513,I1001/GE100/FTLENJLE/UNCYNJ02,FTLENJLE-0221808A,CISCO_NCS4016_SHELF,UNCYNJ02-0220109A,CISCO_NCS4016_SHELF
102187,I1001/GE100/FTWSPAFW/FTWSPAFW,FTWSPAFW-0330506A,CISCO_NCS4016_SHELF,FTWSPAFW-0330606A,CISCO_NCS4016_SHELF
